frozenset({'0'})	{('0',): [342, 1]}
frozenset({'9', '10'})	{('9',): [539, 1], ('10',): [319, 2], ('9', '10'): [183, 3]}
frozenset({'9', '1'})	{('9',): [539, 1], ('1',): [66, 2], ('9', '1'): [37, 3]}
frozenset({'9', '0'})	{('9',): [539, 1], ('0',): [342, 2], ('9', '0'): [206, 3]}
frozenset({'8', '7'})	{('8',): [569, 1], ('7',): [350, 2], ('8', '7'): [207, 3]}
frozenset({'8', '6'})	{('8',): [569, 1], ('6',): [272, 2], ('8', '6'): [163, 3]}
frozenset({'8', '5'})	{('8',): [569, 1], ('5',): [354, 2], ('8', '5'): [207, 3]}
frozenset({'8', '4'})	{('8',): [569, 1], ('4',): [290, 2], ('8', '4'): [188, 3]}
frozenset({'8', '3'})	{('8',): [569, 1], ('3',): [583, 2], ('8', '3'): [346, 3]}
frozenset({'8', '2'})	{('8',): [569, 1], ('2',): [20, 2], ('8', '2'): [11, 3]}
frozenset({'8', '19'})	{('8',): [569, 1], ('19',): [286, 2], ('8', '19'): [180, 3]}
frozenset({'8', '18'})	{('8',): [569, 1], ('18',): [285, 2], ('8', '18'): [166, 3]}
frozenset({'8', '17'})	{('8',): [569, 1], ('17',): [540, 2], ('8', '17'): [342, 3]}
frozenset({'8', '16'})	{('8',): [569, 1], ('16',): [136, 2], ('8', '16'): [79, 3]}
frozenset({'8', '15'})	{('8',): [569, 1], ('15',): [173, 2], ('8', '15'): [110, 3]}
frozenset({'8', '14'})	{('8',): [569, 1], ('14',): [538, 2], ('8', '14'): [321, 3]}
frozenset({'8', '13'})	{('8',): [569, 1], ('13',): [255, 2], ('8', '13'): [176, 3]}
frozenset({'8', '12'})	{('8',): [569, 1], ('12',): [277, 2], ('8', '12'): [163, 3]}
frozenset({'8', '11'})	{('8',): [569, 1], ('11',): [581, 2], ('8', '11'): [347, 3]}
frozenset({'8', '10'})	{('8',): [569, 1], ('10',): [319, 2], ('8', '10'): [195, 3]}
frozenset({'8', '1'})	{('8',): [569, 1], ('1',): [66, 2], ('8', '1'): [50, 3]}
frozenset({'8', '0'})	{('8',): [569, 1], ('0',): [342, 2], ('8', '0'): [209, 3]}
frozenset({'6', '7'})	{('6',): [272, 1], ('7',): [350, 2], ('6', '7'): [106, 3]}
frozenset({'5', '7'})	{('5',): [354, 1], ('7',): [350, 2], ('5', '7'): [129, 3]}
frozenset({'7', '4'})	{('7',): [350, 1], ('4',): [290, 2], ('7', '4'): [114, 3]}
frozenset({'7', '3'})	{('7',): [350, 1], ('3',): [583, 2], ('7', '3'): [222, 3]}
frozenset({'7', '2'})	{('7',): [350, 1], ('2',): [20, 2], ('7', '2'): [7, 3]}
frozenset({'19', '7'})	{('19',): [286, 1], ('7',): [350, 2], ('19', '7'): [107, 3]}
frozenset({'7', '18'})	{('7',): [350, 1], ('18',): [285, 2], ('7', '18'): [114, 3]}
frozenset({'17', '7'})	{('17',): [540, 1], ('7',): [350, 2], ('17', '7'): [206, 3]}
frozenset({'16', '7'})	{('16',): [136, 1], ('7',): [350, 2], ('16', '7'): [60, 3]}
frozenset({'7', '15'})	{('7',): [350, 1], ('15',): [173, 2], ('7', '15'): [73, 3]}
frozenset({'14', '7'})	{('14',): [538, 1], ('7',): [350, 2], ('14', '7'): [192, 3]}
frozenset({'7', '13'})	{('7',): [350, 1], ('13',): [255, 2], ('7', '13'): [99, 3]}
frozenset({'12', '7'})	{('12',): [277, 1], ('7',): [350, 2], ('12', '7'): [98, 3]}
frozenset({'11', '7'})	{('11',): [581, 1], ('7',): [350, 2], ('11', '7'): [220, 3]}
frozenset({'7', '10'})	{('7',): [350, 1], ('10',): [319, 2], ('7', '10'): [120, 3]}
frozenset({'1', '7'})	{('1',): [66, 1], ('7',): [350, 2], ('1', '7'): [29, 3]}
frozenset({'7', '0'})	{('7',): [350, 1], ('0',): [342, 2], ('7', '0'): [127, 3]}
frozenset({'5', '6'})	{('5',): [354, 1], ('6',): [272, 2], ('5', '6'): [107, 3]}
frozenset({'6', '4'})	{('6',): [272, 1], ('4',): [290, 2], ('6', '4'): [83, 3]}
frozenset({'6', '3'})	{('6',): [272, 1], ('3',): [583, 2], ('6', '3'): [163, 3]}
frozenset({'6', '2'})	{('6',): [272, 1], ('2',): [20, 2], ('6', '2'): [6, 3]}
frozenset({'19', '6'})	{('19',): [286, 1], ('6',): [272, 2], ('19', '6'): [84, 3]}
frozenset({'6', '18'})	{('6',): [272, 1], ('18',): [285, 2], ('6', '18'): [90, 3]}
frozenset({'17', '6'})	{('17',): [540, 1], ('6',): [272, 2], ('17', '6'): [147, 3]}
frozenset({'6', '16'})	{('6',): [272, 1], ('16',): [136, 2], ('6', '16'): [45, 3]}
frozenset({'6', '15'})	{('6',): [272, 1], ('15',): [173, 2], ('6', '15'): [48, 3]}
frozenset({'14', '6'})	{('14',): [538, 1], ('6',): [272, 2], ('14', '6'): [151, 3]}
frozenset({'6', '13'})	{('6',): [272, 1], ('13',): [255, 2], ('6', '13'): [88, 3]}
frozenset({'12', '6'})	{('12',): [277, 1], ('6',): [272, 2], ('12', '6'): [73, 3]}
frozenset({'6', '11'})	{('6',): [272, 1], ('11',): [581, 2], ('6', '11'): [173, 3]}
frozenset({'6', '10'})	{('6',): [272, 1], ('10',): [319, 2], ('6', '10'): [98, 3]}
frozenset({'1', '6'})	{('1',): [66, 1], ('6',): [272, 2], ('1', '6'): [9, 3]}
frozenset({'6', '0'})	{('6',): [272, 1], ('0',): [342, 2], ('6', '0'): [92, 3]}
frozenset({'5', '4'})	{('5',): [354, 1], ('4',): [290, 2], ('5', '4'): [115, 3]}
frozenset({'5', '3'})	{('5',): [354, 1], ('3',): [583, 2], ('5', '3'): [221, 3]}
frozenset({'5', '2'})	{('5',): [354, 1], ('2',): [20, 2], ('5', '2'): [8, 3]}
frozenset({'19', '5'})	{('19',): [286, 1], ('5',): [354, 2], ('19', '5'): [107, 3]}
frozenset({'5', '18'})	{('5',): [354, 1], ('18',): [285, 2], ('5', '18'): [109, 3]}
frozenset({'5', '17'})	{('5',): [354, 1], ('17',): [540, 2], ('5', '17'): [198, 3]}
frozenset({'5', '16'})	{('5',): [354, 1], ('16',): [136, 2], ('5', '16'): [50, 3]}
frozenset({'5', '15'})	{('5',): [354, 1], ('15',): [173, 2], ('5', '15'): [63, 3]}
frozenset({'5', '14'})	{('5',): [354, 1], ('14',): [538, 2], ('5', '14'): [203, 3]}
frozenset({'5', '13'})	{('5',): [354, 1], ('13',): [255, 2], ('5', '13'): [95, 3]}
frozenset({'12', '5'})	{('12',): [277, 1], ('5',): [354, 2], ('12', '5'): [103, 3]}
frozenset({'5', '11'})	{('5',): [354, 1], ('11',): [581, 2], ('5', '11'): [225, 3]}
frozenset({'5', '10'})	{('5',): [354, 1], ('10',): [319, 2], ('5', '10'): [120, 3]}
frozenset({'5', '1'})	{('5',): [354, 1], ('1',): [66, 2], ('5', '1'): [22, 3]}
frozenset({'5', '0'})	{('5',): [354, 1], ('0',): [342, 2], ('5', '0'): [137, 3]}
frozenset({'4', '3'})	{('4',): [290, 1], ('3',): [583, 2], ('4', '3'): [179, 3]}
frozenset({'4', '2'})	{('4',): [290, 1], ('2',): [20, 2], ('4', '2'): [5, 3]}
frozenset({'19', '4'})	{('19',): [286, 1], ('4',): [290, 2], ('19', '4'): [85, 3]}
frozenset({'4', '18'})	{('4',): [290, 1], ('18',): [285, 2], ('4', '18'): [98, 3]}
frozenset({'17', '4'})	{('17',): [540, 1], ('4',): [290, 2], ('17', '4'): [167, 3]}
frozenset({'16', '4'})	{('16',): [136, 1], ('4',): [290, 2], ('16', '4'): [45, 3]}
frozenset({'4', '15'})	{('4',): [290, 1], ('15',): [173, 2], ('4', '15'): [55, 3]}
frozenset({'14', '4'})	{('14',): [538, 1], ('4',): [290, 2], ('14', '4'): [164, 3]}
frozenset({'4', '13'})	{('4',): [290, 1], ('13',): [255, 2], ('4', '13'): [77, 3]}
frozenset({'12', '4'})	{('12',): [277, 1], ('4',): [290, 2], ('12', '4'): [89, 3]}
frozenset({'11', '4'})	{('11',): [581, 1], ('4',): [290, 2], ('11', '4'): [182, 3]}
frozenset({'4', '10'})	{('4',): [290, 1], ('10',): [319, 2], ('4', '10'): [96, 3]}
frozenset({'1', '4'})	{('1',): [66, 1], ('4',): [290, 2], ('1', '4'): [17, 3]}
frozenset({'4', '0'})	{('4',): [290, 1], ('0',): [342, 2], ('4', '0'): [113, 3]}
frozenset({'2', '3'})	{('2',): [20, 1], ('3',): [583, 2], ('2', '3'): [13, 3]}
frozenset({'19', '3'})	{('19',): [286, 1], ('3',): [583, 2], ('19', '3'): [187, 3]}
frozenset({'18', '3'})	{('18',): [285, 1], ('3',): [583, 2], ('18', '3'): [184, 3]}
frozenset({'17', '3'})	{('17',): [540, 1], ('3',): [583, 2], ('17', '3'): [334, 3]}
frozenset({'16', '3'})	{('16',): [136, 1], ('3',): [583, 2], ('16', '3'): [81, 3]}
frozenset({'15', '3'})	{('15',): [173, 1], ('3',): [583, 2], ('15', '3'): [112, 3]}
frozenset({'14', '3'})	{('14',): [538, 1], ('3',): [583, 2], ('14', '3'): [332, 3]}
frozenset({'13', '3'})	{('13',): [255, 1], ('3',): [583, 2], ('13', '3'): [155, 3]}
frozenset({'12', '3'})	{('12',): [277, 1], ('3',): [583, 2], ('12', '3'): [179, 3]}
frozenset({'11', '3'})	{('11',): [581, 1], ('3',): [583, 2], ('11', '3'): [366, 3]}
frozenset({'10', '3'})	{('10',): [319, 1], ('3',): [583, 2], ('10', '3'): [198, 3]}
frozenset({'1', '3'})	{('1',): [66, 1], ('3',): [583, 2], ('1', '3'): [41, 3]}
frozenset({'0', '3'})	{('0',): [342, 1], ('3',): [583, 2], ('0', '3'): [218, 3]}
frozenset({'19', '2'})	{('19',): [286, 1], ('2',): [20, 2], ('19', '2'): [11, 3]}
frozenset({'18', '2'})	{('18',): [285, 1], ('2',): [20, 2], ('18', '2'): [8, 3]}
frozenset({'17', '2'})	{('17',): [540, 1], ('2',): [20, 2], ('17', '2'): [6, 3]}
frozenset({'16', '2'})	{('16',): [136, 1], ('2',): [20, 2], ('16', '2'): [2, 3]}
frozenset({'15', '2'})	{('15',): [173, 1], ('2',): [20, 2], ('15', '2'): [3, 3]}
frozenset({'14', '2'})	{('14',): [538, 1], ('2',): [20, 2], ('14', '2'): [11, 3]}
frozenset({'13', '2'})	{('13',): [255, 1], ('2',): [20, 2], ('13', '2'): [7, 3]}
frozenset({'12', '2'})	{('12',): [277, 1], ('2',): [20, 2], ('12', '2'): [8, 3]}
frozenset({'11', '2'})	{('11',): [581, 1], ('2',): [20, 2], ('11', '2'): [13, 3]}
frozenset({'10', '2'})	{('10',): [319, 1], ('2',): [20, 2], ('10', '2'): [5, 3]}
frozenset({'1', '2'})	{('1',): [66, 1], ('2',): [20, 2], ('1', '2'): [1, 3]}
frozenset({'0', '2'})	{('0',): [342, 1], ('2',): [20, 2], ('0', '2'): [9, 3]}
frozenset({'19', '18'})	{('19',): [286, 1], ('18',): [285, 2], ('19', '18'): [97, 3]}
frozenset({'19', '17'})	{('19',): [286, 1], ('17',): [540, 2], ('19', '17'): [167, 3]}
frozenset({'19', '16'})	{('19',): [286, 1], ('16',): [136, 2], ('19', '16'): [52, 3]}
frozenset({'19', '15'})	{('19',): [286, 1], ('15',): [173, 2], ('19', '15'): [57, 3]}
frozenset({'19', '14'})	{('19',): [286, 1], ('14',): [538, 2], ('19', '14'): [165, 3]}
frozenset({'19', '13'})	{('19',): [286, 1], ('13',): [255, 2], ('19', '13'): [84, 3]}
frozenset({'19', '12'})	{('19',): [286, 1], ('12',): [277, 2], ('19', '12'): [75, 3]}
frozenset({'19', '11'})	{('19',): [286, 1], ('11',): [581, 2], ('19', '11'): [173, 3]}
frozenset({'19', '10'})	{('19',): [286, 1], ('10',): [319, 2], ('19', '10'): [109, 3]}
frozenset({'19', '1'})	{('19',): [286, 1], ('1',): [66, 2], ('19', '1'): [21, 3]}
frozenset({'19', '0'})	{('19',): [286, 1], ('0',): [342, 2], ('19', '0'): [113, 3]}
frozenset({'17', '18'})	{('17',): [540, 1], ('18',): [285, 2], ('17', '18'): [166, 3]}
frozenset({'16', '18'})	{('16',): [136, 1], ('18',): [285, 2], ('16', '18'): [42, 3]}
frozenset({'15', '18'})	{('15',): [173, 1], ('18',): [285, 2], ('15', '18'): [51, 3]}
frozenset({'14', '18'})	{('14',): [538, 1], ('18',): [285, 2], ('14', '18'): [168, 3]}
frozenset({'13', '18'})	{('13',): [255, 1], ('18',): [285, 2], ('13', '18'): [87, 3]}
frozenset({'12', '18'})	{('12',): [277, 1], ('18',): [285, 2], ('12', '18'): [85, 3]}
frozenset({'11', '18'})	{('11',): [581, 1], ('18',): [285, 2], ('11', '18'): [181, 3]}
frozenset({'10', '18'})	{('10',): [319, 1], ('18',): [285, 2], ('10', '18'): [110, 3]}
frozenset({'1', '18'})	{('1',): [66, 1], ('18',): [285, 2], ('1', '18'): [23, 3]}
frozenset({'0', '18'})	{('0',): [342, 1], ('18',): [285, 2], ('0', '18'): [105, 3]}
frozenset({'17', '16'})	{('17',): [540, 1], ('16',): [136, 2], ('17', '16'): [88, 3]}
frozenset({'17', '15'})	{('17',): [540, 1], ('15',): [173, 2], ('17', '15'): [102, 3]}
frozenset({'17', '14'})	{('17',): [540, 1], ('14',): [538, 2], ('17', '14'): [317, 3]}
frozenset({'17', '13'})	{('17',): [540, 1], ('13',): [255, 2], ('17', '13'): [156, 3]}
frozenset({'12', '17'})	{('12',): [277, 1], ('17',): [540, 2], ('12', '17'): [169, 3]}
frozenset({'17', '11'})	{('17',): [540, 1], ('11',): [581, 2], ('17', '11'): [330, 3]}
frozenset({'17', '10'})	{('17',): [540, 1], ('10',): [319, 2], ('17', '10'): [181, 3]}
frozenset({'17', '1'})	{('17',): [540, 1], ('1',): [66, 2], ('17', '1'): [40, 3]}
frozenset({'17', '0'})	{('17',): [540, 1], ('0',): [342, 2], ('17', '0'): [215, 3]}
frozenset({'16', '15'})	{('16',): [136, 1], ('15',): [173, 2], ('16', '15'): [30, 3]}
frozenset({'14', '16'})	{('14',): [538, 1], ('16',): [136, 2], ('14', '16'): [80, 3]}
frozenset({'16', '13'})	{('16',): [136, 1], ('13',): [255, 2], ('16', '13'): [41, 3]}
frozenset({'12', '16'})	{('12',): [277, 1], ('16',): [136, 2], ('12', '16'): [48, 3]}
frozenset({'16', '11'})	{('16',): [136, 1], ('11',): [581, 2], ('16', '11'): [95, 3]}
frozenset({'16', '10'})	{('16',): [136, 1], ('10',): [319, 2], ('16', '10'): [44, 3]}
frozenset({'1', '16'})	{('1',): [66, 1], ('16',): [136, 2], ('1', '16'): [8, 3]}
frozenset({'16', '0'})	{('16',): [136, 1], ('0',): [342, 2], ('16', '0'): [54, 3]}
frozenset({'14', '15'})	{('14',): [538, 1], ('15',): [173, 2], ('14', '15'): [104, 3]}
frozenset({'13', '15'})	{('13',): [255, 1], ('15',): [173, 2], ('13', '15'): [50, 3]}
frozenset({'12', '15'})	{('12',): [277, 1], ('15',): [173, 2], ('12', '15'): [53, 3]}
frozenset({'11', '15'})	{('11',): [581, 1], ('15',): [173, 2], ('11', '15'): [109, 3]}
frozenset({'15', '10'})	{('15',): [173, 1], ('10',): [319, 2], ('15', '10'): [62, 3]}
frozenset({'1', '15'})	{('1',): [66, 1], ('15',): [173, 2], ('1', '15'): [10, 3]}
frozenset({'0', '15'})	{('0',): [342, 1], ('15',): [173, 2], ('0', '15'): [66, 3]}
frozenset({'14', '13'})	{('14',): [538, 1], ('13',): [255, 2], ('14', '13'): [141, 3]}
frozenset({'12', '14'})	{('12',): [277, 1], ('14',): [538, 2], ('12', '14'): [165, 3]}
frozenset({'14', '11'})	{('14',): [538, 1], ('11',): [581, 2], ('14', '11'): [318, 3]}
frozenset({'14', '10'})	{('14',): [538, 1], ('10',): [319, 2], ('14', '10'): [178, 3]}
frozenset({'1', '14'})	{('1',): [66, 1], ('14',): [538, 2], ('1', '14'): [40, 3]}
frozenset({'14', '0'})	{('14',): [538, 1], ('0',): [342, 2], ('14', '0'): [196, 3]}
frozenset({'12', '13'})	{('12',): [277, 1], ('13',): [255, 2], ('12', '13'): [78, 3]}
frozenset({'11', '13'})	{('11',): [581, 1], ('13',): [255, 2], ('11', '13'): [152, 3]}
frozenset({'13', '10'})	{('13',): [255, 1], ('10',): [319, 2], ('13', '10'): [78, 3]}
frozenset({'1', '13'})	{('1',): [66, 1], ('13',): [255, 2], ('1', '13'): [15, 3]}
frozenset({'0', '13'})	{('0',): [342, 1], ('13',): [255, 2], ('0', '13'): [96, 3]}
frozenset({'12', '11'})	{('12',): [277, 1], ('11',): [581, 2], ('12', '11'): [176, 3]}
frozenset({'12', '10'})	{('12',): [277, 1], ('10',): [319, 2], ('12', '10'): [103, 3]}
frozenset({'12', '1'})	{('12',): [277, 1], ('1',): [66, 2], ('12', '1'): [25, 3]}
frozenset({'12', '0'})	{('12',): [277, 1], ('0',): [342, 2], ('12', '0'): [104, 3]}
frozenset({'11', '10'})	{('11',): [581, 1], ('10',): [319, 2], ('11', '10'): [193, 3]}
frozenset({'1', '11'})	{('1',): [66, 1], ('11',): [581, 2], ('1', '11'): [44, 3]}
frozenset({'11', '0'})	{('11',): [581, 1], ('0',): [342, 2], ('11', '0'): [216, 3]}
frozenset({'1', '10'})	{('1',): [66, 1], ('10',): [319, 2], ('1', '10'): [22, 3]}
frozenset({'0', '10'})	{('0',): [342, 1], ('10',): [319, 2], ('0', '10'): [112, 3]}
frozenset({'1', '0'})	{('1',): [66, 1], ('0',): [342, 2], ('1', '0'): [28, 3]}
frozenset({'1', '0', '10'})	{('1',): [66, 1], ('0',): [342, 2], ('10',): [319, 4], ('1', '0'): [28, 3], ('1', '10'): [22, 5], ('0', '10'): [112, 6], ('1', '0', '10'): [13, 7]}
frozenset({'1', '11', '0'})	{('1',): [66, 1], ('11',): [581, 2], ('0',): [342, 4], ('1', '11'): [44, 3], ('1', '0'): [28, 5], ('11', '0'): [216, 6], ('1', '11', '0'): [20, 7]}
frozenset({'13', '1', '0'})	{('13',): [255, 1], ('1',): [66, 2], ('0',): [342, 4], ('13', '1'): [15, 3], ('13', '0'): [96, 5], ('1', '0'): [28, 6], ('13', '1', '0'): [9, 7]}
frozenset({'1', '14', '0'})	{('1',): [66, 1], ('14',): [538, 2], ('0',): [342, 4], ('1', '14'): [40, 3], ('1', '0'): [28, 5], ('14', '0'): [196, 6], ('1', '14', '0'): [19, 7]}
frozenset({'1', '0', '15'})	{('1',): [66, 1], ('0',): [342, 2], ('15',): [173, 4], ('1', '0'): [28, 3], ('1', '15'): [10, 5], ('0', '15'): [66, 6], ('1', '0', '15'): [4, 7]}
frozenset({'1', '16', '0'})	{('1',): [66, 1], ('16',): [136, 2], ('0',): [342, 4], ('1', '16'): [8, 3], ('1', '0'): [28, 5], ('16', '0'): [54, 6], ('1', '16', '0'): [5, 7]}
frozenset({'1', '0', '18'})	{('1',): [66, 1], ('0',): [342, 2], ('18',): [285, 4], ('1', '0'): [28, 3], ('1', '18'): [23, 5], ('0', '18'): [105, 6], ('1', '0', '18'): [12, 7]}
frozenset({'1', '0', '2'})	{('1',): [66, 1], ('0',): [342, 2], ('2',): [20, 4], ('1', '0'): [28, 3], ('1', '2'): [1, 5], ('0', '2'): [9, 6], ('1', '0', '2'): [1, 7]}
frozenset({'1', '0', '3'})	{('1',): [66, 1], ('0',): [342, 2], ('3',): [583, 4], ('1', '0'): [28, 3], ('1', '3'): [41, 5], ('0', '3'): [218, 6], ('1', '0', '3'): [21, 7]}
frozenset({'1', '4', '0'})	{('1',): [66, 1], ('4',): [290, 2], ('0',): [342, 4], ('1', '4'): [17, 3], ('1', '0'): [28, 5], ('4', '0'): [113, 6], ('1', '4', '0'): [7, 7]}
frozenset({'1', '6', '0'})	{('1',): [66, 1], ('6',): [272, 2], ('0',): [342, 4], ('1', '6'): [9, 3], ('1', '0'): [28, 5], ('6', '0'): [92, 6], ('1', '6', '0'): [6, 7]}
frozenset({'1', '7', '0'})	{('1',): [66, 1], ('7',): [350, 2], ('0',): [342, 4], ('1', '7'): [29, 3], ('1', '0'): [28, 5], ('7', '0'): [127, 6], ('1', '7', '0'): [16, 7]}
frozenset({'13', '0', '10'})	{('13',): [255, 1], ('0',): [342, 2], ('10',): [319, 4], ('13', '0'): [96, 3], ('13', '10'): [78, 5], ('0', '10'): [112, 6], ('13', '0', '10'): [29, 7]}
frozenset({'15', '0', '10'})	{('15',): [173, 1], ('0',): [342, 2], ('10',): [319, 4], ('15', '0'): [66, 3], ('15', '10'): [62, 5], ('0', '10'): [112, 6], ('15', '0', '10'): [22, 7]}
frozenset({'18', '0', '10'})	{('18',): [285, 1], ('0',): [342, 2], ('10',): [319, 4], ('18', '0'): [105, 3], ('18', '10'): [110, 5], ('0', '10'): [112, 6], ('18', '0', '10'): [38, 7]}
frozenset({'2', '0', '10'})	{('2',): [20, 1], ('0',): [342, 2], ('10',): [319, 4], ('2', '0'): [9, 3], ('2', '10'): [5, 5], ('0', '10'): [112, 6], ('2', '0', '10'): [3, 7]}
frozenset({'1', '11', '10'})	{('1',): [66, 1], ('11',): [581, 2], ('10',): [319, 4], ('1', '11'): [44, 3], ('1', '10'): [22, 5], ('11', '10'): [193, 6], ('1', '11', '10'): [18, 7]}
frozenset({'1', '13', '10'})	{('1',): [66, 1], ('13',): [255, 2], ('10',): [319, 4], ('1', '13'): [15, 3], ('1', '10'): [22, 5], ('13', '10'): [78, 6], ('1', '13', '10'): [4, 7]}
frozenset({'1', '14', '10'})	{('1',): [66, 1], ('14',): [538, 2], ('10',): [319, 4], ('1', '14'): [40, 3], ('1', '10'): [22, 5], ('14', '10'): [178, 6], ('1', '14', '10'): [14, 7]}
frozenset({'1', '15', '10'})	{('1',): [66, 1], ('15',): [173, 2], ('10',): [319, 4], ('1', '15'): [10, 3], ('1', '10'): [22, 5], ('15', '10'): [62, 6], ('1', '15', '10'): [4, 7]}
frozenset({'1', '16', '10'})	{('1',): [66, 1], ('16',): [136, 2], ('10',): [319, 4], ('1', '16'): [8, 3], ('1', '10'): [22, 5], ('16', '10'): [44, 6], ('1', '16', '10'): [2, 7]}
frozenset({'1', '18', '10'})	{('1',): [66, 1], ('18',): [285, 2], ('10',): [319, 4], ('1', '18'): [23, 3], ('1', '10'): [22, 5], ('18', '10'): [110, 6], ('1', '18', '10'): [7, 7]}
frozenset({'1', '2', '10'})	{('1',): [66, 1], ('2',): [20, 2], ('10',): [319, 4], ('1', '2'): [1, 3], ('1', '10'): [22, 5], ('2', '10'): [5, 6], ('1', '2', '10'): [0, 7]}
frozenset({'1', '3', '10'})	{('1',): [66, 1], ('3',): [583, 2], ('10',): [319, 4], ('1', '3'): [41, 3], ('1', '10'): [22, 5], ('3', '10'): [198, 6], ('1', '3', '10'): [14, 7]}
frozenset({'1', '4', '10'})	{('1',): [66, 1], ('4',): [290, 2], ('10',): [319, 4], ('1', '4'): [17, 3], ('1', '10'): [22, 5], ('4', '10'): [96, 6], ('1', '4', '10'): [4, 7]}
frozenset({'1', '6', '10'})	{('1',): [66, 1], ('6',): [272, 2], ('10',): [319, 4], ('1', '6'): [9, 3], ('1', '10'): [22, 5], ('6', '10'): [98, 6], ('1', '6', '10'): [5, 7]}
frozenset({'1', '7', '10'})	{('1',): [66, 1], ('7',): [350, 2], ('10',): [319, 4], ('1', '7'): [29, 3], ('1', '10'): [22, 5], ('7', '10'): [120, 6], ('1', '7', '10'): [12, 7]}
frozenset({'1', '11', '13'})	{('1',): [66, 1], ('11',): [581, 2], ('13',): [255, 4], ('1', '11'): [44, 3], ('1', '13'): [15, 5], ('11', '13'): [152, 6], ('1', '11', '13'): [13, 7]}
frozenset({'1', '14', '11'})	{('1',): [66, 1], ('14',): [538, 2], ('11',): [581, 4], ('1', '14'): [40, 3], ('1', '11'): [44, 5], ('14', '11'): [318, 6], ('1', '14', '11'): [24, 7]}
frozenset({'1', '11', '15'})	{('1',): [66, 1], ('11',): [581, 2], ('15',): [173, 4], ('1', '11'): [44, 3], ('1', '15'): [10, 5], ('11', '15'): [109, 6], ('1', '11', '15'): [7, 7]}
frozenset({'1', '16', '11'})	{('1',): [66, 1], ('16',): [136, 2], ('11',): [581, 4], ('1', '16'): [8, 3], ('1', '11'): [44, 5], ('16', '11'): [95, 6], ('1', '16', '11'): [6, 7]}
frozenset({'1', '11', '18'})	{('1',): [66, 1], ('11',): [581, 2], ('18',): [285, 4], ('1', '11'): [44, 3], ('1', '18'): [23, 5], ('11', '18'): [181, 6], ('1', '11', '18'): [16, 7]}
frozenset({'1', '11', '2'})	{('1',): [66, 1], ('11',): [581, 2], ('2',): [20, 4], ('1', '11'): [44, 3], ('1', '2'): [1, 5], ('11', '2'): [13, 6], ('1', '11', '2'): [1, 7]}
frozenset({'1', '11', '3'})	{('1',): [66, 1], ('11',): [581, 2], ('3',): [583, 4], ('1', '11'): [44, 3], ('1', '3'): [41, 5], ('11', '3'): [366, 6], ('1', '11', '3'): [24, 7]}
